bin	address	file_date	job_num	doc_num	job type	job_status	status_date	lic_num	applicant	in audit	zoning	details
1089093	2078 FREDERICK DOUGLASS BOULEVARD MANHATTAN	07/25/1994	100888559	01	DM	X SIGNED OFF	02/27/2009		RUSSO		NOT APPLICABLE	
1061427	739 ST NICHOLAS AVENUE MANHATTAN	08/28/2013	140110975	01	A2	R PERMIT-ENTIRE	08/29/2013	0021157 RA	HARRIS		NOT APPLICABLE	" 
		
			 CONSTRUCTION OF AN ON-GRADE CONCRETE CELLAR ACCESS STAIR FROM INTERIOR COU
		  
		
			 Work on Floor(s): CEL,BAS
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	03/14/2013	140062303	01	A2	R PERMIT-ENTIRE	04/15/2013	0021157 RA	HARRIS		NOT APPLICABLE	" 
		
			 INSTALL A COMMERCIAL KITCHEN COOKING STEEL EXHAUST VENTILATION RISER ON SO
		  
		
			 Work on Floor(s): BAS
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	03/13/2013	140062143	01	A2	H P/E IN PROCESS	03/13/2013	0021157 RA	HARRIS		NOT APPLICABLE	" 
		
			 JOB WITHDRAWN 04/06/2013 INSTALL A COMMERCIAL KITCHEN COOKING STEEL EXHAUS
		  
		
			 Work on Floor(s): BAS
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	03/04/2013	140059692	01	A2	H P/E IN PROCESS	03/04/2013	0021157 RA	HARRIS		NOT APPLICABLE	" 
		
			 JOB WITHDRAWN 04/06/2013 INSTALL A COMMERCIAL KITCHEN COOKING STEEL EXHAUS
		  
		
			 Work on Floor(s): BAS
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	11/06/2009	101504034	05	A1	J P/E DISAPPROVED	11/23/2009		HARRIS		NOT APPLICABLE	" 
		
			 DOC WITHDRAWN 06/10/2010
		  
		
			 Work on Floor(s): CEL,BAS                  001 thru 004
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	01/30/2007	101504034	04	A1	P APPROVED	02/13/2007	0021157 RA	HARRIS		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): CEL,BAS                  001 thru 004
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	12/28/2005	104319792	01	A2	X SIGNED OFF	02/28/2007	0021157 RA	Harris		NOT APPLICABLE	" 
		
			 REINSTALLING EXISTING SPRINKLER SYSTEM WITH NEW COMPONENTS, PIPING,  SPRIN
		  
		
			 Work on Floor(s): CEL,BAS,001,002,003,004
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	09/09/2005	101504034	03	A1	P APPROVED	09/29/2005	0021157 RA	HARRIS		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): CEL,BAS                  001 thru 004
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	08/13/2004	101504034	02	A1	P APPROVED	03/24/2005	0021157 RA	HARRIS		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): CEL,BAS                  001 thru 004
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	04/17/1997	101504034	01	A1	R PERMIT-ENTIRE	11/15/2007	0021157 RA	HARRIS		NOT APPLICABLE	" 
		
			 CONSTRUCTION OF INTERIOR PARTITION AND PLUMBING WORK.
		  
		
			 Work on Floor(s): CEL,BAS                  001 thru 004
"
1061427	739 ST NICHOLAS AVENUE MANHATTAN	11/23/1994	100946988	01	A2	R PERMIT-ENTIRE	12/16/1994	0050265 PE	REIF		NOT APPLICABLE	" 
		
			 THIS APPL.IS BEING MADE TO REMOVE EXIT. NON-BEAR'G PARTITION, INTERIOR R
		"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	11/14/2017	123240091	01	A3	D A/P ENTIRE	11/14/2017	0082512 PE	VALJATO		NOT APPLICABLE	" 
		
			 TO ERECT A PERSONNEL / MATERIAL HOIST. THIS APPLICATION INVOLVE NO CHANGE
		  
		
			 Work on Floor(s): ROF                      001 thru 006
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	11/09/2017	122239434	06	NB	P APPROVED	11/27/2017		OCASIO		GRANTED 01/03/2017	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): ROF                      001 thru 006
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	10/23/2017	122239434	05	NB	P APPROVED	11/01/2017		OCASIO		GRANTED 01/03/2017	" 
		
			 POST APPROVAL AMENDMENT FOR 01 PROPOSED NEW 6-STORY EDUCATIONAL BUILDING
		  
		
			 Work on Floor(s): ROF                      001 thru 006
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	09/19/2017	122239434	04	NB	P APPROVED	10/20/2017		OCASIO		GRANTED 01/03/2017	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): ROF                      001 thru 006
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	06/08/2017	140653987	01	A3	R PERMIT-ENTIRE	06/12/2017	0090372 PE	ZDANCEWI		NOT APPLICABLE	" 
		
			 INSTALLATION OF TEMPORARY SIDEWALK SHED AS PER PLAN SUBMITTED. WORK SHALL
		  
		
			 Work on Floor(s): OSP
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	04/25/2017	122620379	02	A2	P APPROVED	05/03/2017		HADIPRAW		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): GRD
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	03/06/2017	123038220	01	A2	R PERMIT-ENTIRE	03/29/2017	0081165 PE	MALYUCHE		NOT APPLICABLE	" 
		
			 INSTALL TEMPORARY STANDPIPE SYSTEM IN CONJUNCTION WITH NEW BUILDING AS PER
		  
		
			 Work on Floor(s): ROF                      001 thru 006
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	01/30/2017	140600188	01	A3	R PERMIT-ENTIRE	02/01/2017	0089587 PE	PHAGOO		NOT APPLICABLE	" 
		
			 INSTALLATION OF PLYWOOD FENCE AS PER DRAWINGS. PLYWOOD FENCE SHALL COMPLY
		  
		
			 Work on Floor(s): OSP
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	11/03/2016	122934806	01	A3	R PERMIT-ENTIRE	04/03/2017	0060813 PE	GENNARO		NOT APPLICABLE	" 
		
			 INSTALL NEW SIDEWALKS, CURBS, & ROADWAY
		  
		
			 Work on Floor(s): OSP
"
